,age,monthly_income,credit_utilization_ratio,loan_amount,loan_duration_months,num_late_payments,existing_loans_count,account_tenure_years,employment_type,education_level,marital_status,region,customer_financial_statement,sentiment,financial_stress_level,risk_category,default_risk
0,22,1800,0.92,7500,36,4,2,1,Student,Bachelor,Single,Urban,"I'm really struggling to make ends meet each month, balancing tuition and living costs.",0.15,High,High Risk,1
1,45,12500,0.18,30000,48,0,1,15,Salaried,Master,Married,Suburban,"My finances are stable, and I'm actively saving for my children's education and retirement.",0.9,Low,Low Risk,0
2,38,6800,0.68,22000,60,2,3,8,Salaried,Bachelor,Married,Urban,"We're managing, but recent unexpected expenses have made cash flow a bit tight.",0.35,Medium,Watchlist,1
3,55,4500,0.35,10000,24,1,0,20,Self-Employed,Diploma,Divorced,Rural,"I'm comfortable with my current financial situation, though I always look for ways to save more.",0.8,Low,Low Risk,0
4,28,3200,0.85,12000,48,3,1,3,Salaried,Bachelor,Single,Urban,I'm constantly worried about my credit card debt and paying off my personal loan.,0.15,High,High Risk,1
5,62,7000,0.25,15000,12,0,1,18,Salaried,Master,Married,Suburban,"My retirement planning is well underway, and I feel secure about my future.",0.95,Low,Low Risk,0
6,31,5000,0.55,18000,36,1,2,5,Salaried,Bachelor,Single,Urban,"I'm trying to pay down my debts, but it feels like a slow uphill battle.",0.3,Medium,Watchlist,0
7,50,18000,0.12,50000,60,0,0,17,Self-Employed,Master,Married,Suburban,"My business is thriving, and I have significant liquidity and investment opportunities.",0.95,Low,Low Risk,0
8,24,2500,0.75,5000,24,2,1,2,Salaried,High School,Single,Rural,"I'm working hard, but it's tough to get ahead with all my bills.",0.35,High,Watchlist,1
9,41,9500,0.2,25000,36,0,1,10,Salaried,Bachelor,Married,Suburban,"Our family budget is well-managed, allowing for both savings and occasional luxuries.",0.9,Low,Low Risk,0
10,29,2000,0.98,10000,60,7,3,4,Unemployed,Diploma,Single,Urban,I lost my job and I'm drowning in debt; I don't know how I'll pay next month's bills.,0.0,High,High Risk,1
11,33,5800,0.45,15000,48,0,2,7,Salaried,Bachelor,Married,Suburban,"We are steadily paying off our mortgage and car loan, building equity.",0.85,Low,Low Risk,0
12,48,15000,0.1,45000,60,0,1,16,Salaried,Master,Divorced,Urban,"My financial investments are growing well, providing security for my future.",0.95,Low,Low Risk,0
13,68,3000,0.6,6000,12,1,0,10,Self-Employed,High School,Married,Rural,"Retirement is comfortable, but I need to be careful with larger expenses.",0.7,Medium,Watchlist,0
14,26,4000,0.7,16000,48,2,2,3,Salaried,Bachelor,Single,Urban,"I just got a promotion, but I'm trying to catch up on old bills while managing new ones.",0.5,Medium,Watchlist,1
15,35,7200,0.3,20000,36,0,1,9,Self-Employed,Bachelor,Married,Suburban,"My business income is stable, allowing for good personal financial planning.",0.9,Low,Low Risk,0
16,58,2200,0.95,8000,24,6,4,12,Unemployed,High School,Divorced,Rural,"I'm deeply in debt since I lost my job, and I see no way out.",0.05,High,High Risk,1
17,21,1500,0.88,3000,12,1,1,0,Student,High School,Single,Urban,"I'm just starting out, and every penny counts; it's hard to build credit.",0.2,Medium,Watchlist,1
18,30,4800,0.5,10000,24,0,1,6,Salaried,Bachelor,Single,Urban,I'm focused on reducing my debt and increasing my emergency savings.,0.7,Low,Low Risk,0
19,42,8500,0.62,28000,60,3,2,11,Salaried,Master,Married,Suburban,We are experiencing financial strain due to medical bills and high credit card balances.,0.15,High,High Risk,1
20,60,10000,0.15,20000,36,0,0,19,Salaried,Bachelor,Married,Rural,I'm nearing retirement with a strong financial foundation and minimal debt.,0.95,Low,Low Risk,0
21,36,3800,0.78,9000,48,5,2,7,Self-Employed,Diploma,Divorced,Urban,"My freelance income is inconsistent, making it hard to manage my existing loan payments.",0.2,High,High Risk,1
22,52,6000,0.4,12000,36,0,1,14,Salaried,Bachelor,Married,Suburban,We're budgeting carefully to save for our children's college and improve our home.,0.8,Low,Low Risk,0
23,27,3500,0.65,14000,60,1,2,4,Salaried,Bachelor,Single,Urban,I'm juggling student loan payments and trying to build my credit score.,0.4,Medium,Watchlist,0
24,70,2800,0.8,4000,12,2,1,15,Unemployed,Diploma,Married,Rural,"My pension covers basics, but unexpected medical costs have left me with credit card debt.",0.3,High,High Risk,1
